Variables=Time[s], probe_u1, probe_v1, probe_w1, probe_u2, probe_v2, probe_w2, probe_u3, probe_v3, probe_w3, probe_u4, probe_v4, probe_w4, probe_u5, probe_v5, probe_w5
0.00022, 332.0881586, -6.10618466, 0.07645585171, 334.2167922, -9.950593083, -0.03753349344, 336.1237801, -12.5518113, 0.1151771731, 338.9117893, -15.23894372, 0.2233018773, 343.4894967, -15.46062801, -0.174449448
0.00023, 331.3678151, -7.021680161, 0.08086570264, 332.9856414, -11.34513047, -0.052437155, 334.5836796, -14.35651786, 0.1294211622, 337.1220765, -17.58255212, 0.2602339614, 341.1122093, -18.51019431, -0.2085732804
0.00024000000000000003, 333.9820162, -7.295271207, 0.08169017521, 334.7336777, -11.79624717, -0.06190537954, 335.6993954, -15.06542757, 0.1387018572, 337.548086, -18.75915629, 0.2799046372, 340.4007616, -20.62636833, -0.2306963084
0.00025, 339.3946229, -6.789969708, 0.07809220934, 339.1889565, -11.09429783, -0.06190240991, 339.3669854, -14.39272157, 0.1358719499, 340.2183355, -18.38196393, 0.2749770583, 341.5484684, -21.32326579, -0.2402568216
0.00026000000000000003, 346.0548379, -5.616392728, 0.07054547656, 345.1851953, -9.391973737, -0.05351692859, 344.6887362, -12.44914274, 0.1188311097, 344.5449051, -16.4397393, 0.2448435182, 344.3727874, -20.32854701, -0.2327789459
0.00027, 351.9581675, -4.131674451, 0.06200255223, 350.9874343, -7.203219108, -0.03982752182, 350.2072799, -9.799490809, 0.09367751195, 349.4384582, -13.42339849, 0.196021984, 348.2721617, -17.79811169, -0.2059879832
0.00028000000000000003, 355.4586212, -2.789357397, 0.05459383432, 354.9847276, -5.196576838, -0.02661462088, 354.4059752, -7.241608087, 0.06779351958, 353.6072432, -10.20448582, 0.1413413379, 352.3321792, -14.34807778, -0.1669315502
0.00029, 355.8140406, -1.965309742, 0.05089705215, 356.2723524, -3.925165628, -0.01806522828, 356.3039645, -5.479635506, 0.04552377784, 356.0430169, -7.681720415, 0.0989323128, 355.5502126, -10.91756397, -0.127093619
0.00030000000000000003, 353.2016259, -1.835482364, 0.05225472789, 354.7754933, -3.661214367, -0.01459121055, 355.6561468, -4.908286999, 0.03301238646, 356.3187833, -6.455886948, 0.07845433697, 357.2141486, -8.404303069, -0.094882993
0.00031, 348.4336554, -2.359351964, 0.05629301577, 351.0856559, -4.365038414, -0.01670057956, 352.8435688, -5.541858523, 0.03074553773, 354.5488356, -6.695098483, 0.08192426368, 357.059383, -7.343445998, -0.0778289823
0.00032, 342.5376288, -3.348997786, 0.05835999239, 346.1120671, -5.780364817, -0.02503719243, 348.6314041, -7.098423015, 0.03233499346, 351.2876082, -8.165202332, 0.1044795705, 355.2551223, -7.834105259, -0.07664417155
0.00033000000000000005, 336.4379322, -4.561675396, 0.056144756, 340.7731849, -7.558998845, -0.04007687916, 343.8687817, -9.162961244, 0.03815492165, 347.261524, -10.41556339, 0.1410891742, 352.2914322, -9.575775579, -0.08904910177
0.00034, 330.7538108, -5.792175646, 0.05198346243, 335.7651708, -9.383244737, -0.06088128346, 339.2779646, -11.32957054, 0.04543630584, 343.1834552, -12.93414434, 0.1836588918, 348.7906041, -12.05104529, -0.1084524159
0.00035000000000000005, 325.7601884, -6.908874137, 0.04618076282, 331.4755586, -11.0416012, -0.08563183484, 335.3350127, -13.30964545, 0.04961914137, 339.6027584, -15.30187783, 0.2274494992, 345.377958, -14.70452406, -0.1275875498
0.00036, 321.5007141, -7.872583542, 0.0456857067, 328.0179072, -12.44580104, -0.1142445691, 332.2354586, -14.96807124, 0.0493922979, 336.8257413, -17.27992927, 0.2691891337, 342.5369705, -17.0941397, -0.1421278413
0.00037000000000000005, 317.8065129, -8.691052382, 0.04953238017, 325.2692807, -13.59515717, -0.1463696098, 329.9239007, -16.28852028, 0.04780944737, 334.892868, -18.8006788, 0.3090862479, 340.5141417, -18.98398639, -0.1512678611
0.00038, 314.3871592, -9.383093533, 0.05478380372, 322.9426604, -14.52751591, -0.1797806246, 328.1419627, -17.32684373, 0.04606155714, 333.5920888, -19.92810393, 0.3463118703, 339.2834413, -20.34372173, -0.1572992998
0.00039000000000000005, 310.8848617, -9.959070727, 0.05800490462, 320.6607844, -15.2844172, -0.2119819956, 326.5063181, -18.15463374, 0.04553123336, 332.5351875, -20.77997719, 0.3804320698, 338.5646906, -21.29633107, -0.1619982971
0.0004, 306.9571737, -10.42011144, 0.05764017161, 318.0541729, -15.89553005, -0.2421977441, 324.6198272, -18.82832052, 0.04639958369, 331.2859141, -21.4671005, 0.4104873273, 337.9257393, -22.02448677, -0.1672966904
0.00041000000000000005, 302.379272, -10.77677709, 0.05243850842, 314.874016, -16.3825557, -0.2703659216, 322.1969105, -19.38250822, 0.04756061174, 329.5146181, -22.05913288, 0.4338531198, 336.9437733, -22.68452996, -0.1748535942
0.00042, 297.1330261, -11.05909527, 0.04140095114, 311.0696482, -16.76923137, -0.2963678665, 319.1496461, -19.84070011, 0.04842216913, 327.0955596, -22.58880045, 0.4472002207, 335.3540198, -23.35820055, -0.1856043459
0.00043000000000000004, 291.4341572, -11.30367208, 0.02666748201, 306.8056779, -17.08192713, -0.3193129753, 315.6053343, -20.2228197, 0.05013528462, 324.1288424, -23.06728446, 0.449385691, 333.1229984, -24.05329204, -0.1995015721
0.00044, 285.6816266, -11.53498278, 0.01199500818, 302.4113596, -17.33964028, -0.336049748, 311.849013, -20.54720216, 0.05628482418, 320.8806452, -23.50197825, 0.440033518, 330.4323906, -24.73290725, -0.2154239769
0.00045000000000000004, 280.3443401, -11.75483089, 0.000257350392, 298.2724299, -17.54201116, -0.34211596, 308.2212162, -20.82674871, 0.07037617065, 317.681656, -23.90593222, 0.4207978671, 327.5911793, -25.35150687, -0.2320950547
0.00046, 275.8301849, -11.9353096, -0.008716906619, 294.7125849, -17.67011141, -0.3342127036, 305.0147188, -21.06208934, 0.09376175359, 314.8228396, -24.29500193, 0.3947058224, 324.9273849, -25.88884039, -0.2465776268
0.00047000000000000004, 272.3791251, -12.02085603, -0.01983037113, 291.9053678, -17.69464046, -0.3129597113, 302.393783, -21.24584727, 0.126401909, 312.4875768, -24.67068055, 0.3665572919, 322.6887574, -26.34617472, -0.2579484678
0.00048000000000000007, 270.0171438, -11.94802449, -0.0419498048, 289.8319906, -17.58937888, -0.2807829634, 300.3646267, -21.35885063, 0.1601002927, 310.7128598, -25.01574773, 0.3383044984, 320.9913872, -26.72806152, -0.2645037151
0.0004900000000000001, 268.5676366, -11.67549395, -0.0853359722, 288.3097565, -17.34197785, -0.243832124, 298.7925146, -21.37356288, 0.1896034948, 309.4011093, -25.28222112, 0.3117891379, 319.8047266, -27.03114661, -0.2673286935
0.0005, 267.7238143, -11.20214848, -0.1569957947, 287.0607942, -16.94964509, -0.2070244638, 297.4614369, -21.24375409, 0.2091453005, 308.3580076, -25.39093959, 0.2869934213, 318.9772603, -27.22536889, -0.2687120034
0.00051, 267.1454365, -10.55831359, -0.25495375, 285.8087107, -16.4084959, -0.1700657127, 296.1476724, -20.90332425, 0.2165436451, 307.3530341, -25.24570282, 0.2626741693, 318.2902909, -27.26269983, -0.2712795503
0.0005200000000000001, 266.5583384, -9.799480122, -0.3658829405, 284.3727253, -15.71092336, -0.1331302041, 294.6927918, -20.28330648, 0.2125074189, 306.1849728, -24.77217867, 0.236364518, 317.5251693, -27.09771476, -0.2769451268
0.0005300000000000001, 265.8247766, -8.993782341, -0.468840681, 282.7212063, -14.85683077, -0.09372790437, 293.0447143, -19.34393497, 0.2014154236, 304.7300711, -23.94510964, 0.2087014761, 316.5222551, -26.70416658, -0.2868424163
0.00054, 264.9656703, -8.21012506, -0.5424608207, 280.9695707, -13.86519391, -0.05035736286, 291.2586895, -18.10487425, 0.1880129949, 302.9624131, -22.8037443, 0.1842371166, 315.2060126, -26.08883243, -0.3014112259
0.00055, 264.1310425, -7.509341666, -0.5704259505, 279.3253821, -12.78850351, -0.005920070778, 289.4586943, -16.66330744, 0.1755541431, 300.9358291, -21.45051518, 0.1697744073, 313.5808451, -25.28048291, -0.3184871913
0.0005600000000000001, 263.5195965, -6.938452357, -0.5497438938, 278.0047274, -11.72198686, 0.03052634351, 287.7831924, -15.18246346, 0.1647124911, 298.7509016, -20.0325013, 0.1716417115, 311.7027602, -24.33131515, -0.3314926393
0.0005700000000000001, 263.2796067, -6.54738098, -0.4818700087, 277.1527534, -10.7940211, 0.04716492468, 286.3389583, -13.85088138, 0.1509444603, 296.5205247, -18.71958464, 0.1930087977, 309.6447365, -23.30725384, -0.3346490649
0.00058, 263.4322122, -6.409047172, -0.3808376475, 276.8077891, -10.14726119, 0.02905476482, 285.1750813, -12.85067419, 0.1302892321, 294.3520816, -17.66814944, 0.2315100586, 307.4811787, -22.27896292, -0.3251496962
0.00059, 263.8439444, -6.618151249, -0.2742724027, 276.8999878, -9.922842386, -0.03301165724, 284.2872001, -12.32801743, 0.1044779186, 292.3346617, -16.99476345, 0.2816042638, 305.2872443, -21.32153708, -0.3063504592
0.0006000000000000001, 264.2830017, -7.295022245, -0.1887313068, 277.2803687, -10.24100606, -0.139748209, 283.6258944, -12.3890483, 0.08002338449, 290.5344802, -16.78058081, 0.3329595067, 303.1438068, -20.5164861, -0.2868426322
0.0006100000000000001, 264.5067089, -8.5600991, -0.1383111307, 277.7763117, -11.20307757, -0.2788865938, 283.1339544, -13.09504266, 0.06585065994, 288.9957264, -17.08037139, 0.3738423593, 301.1344292, -19.94877015, -0.2739711951
0.00062, 264.3244133, -10.46189119, -0.1234009517, 278.2245314, -12.88009825, -0.4205620376, 282.7578606, -14.50985151, 0.06788438397, 287.7579927, -17.93815948, 0.3940601725, 299.3335277, -19.70649584, -0.2704398965
0.00063, 263.6365618, -12.97157074, -0.140112774, 278.4926153, -15.31348757, -0.527644898, 282.4637191, -16.67570468, 0.09289078306, 286.8499425, -19.35390773, 0.3924199975, 297.7907639, -19.86751192, -0.2725787666
0.00064, 262.4022587, -16.00967663, -0.1683952979, 278.4854216, -18.5293536, -0.5701286951, 282.2509785, -19.60798149, 0.1387338781, 286.3076436, -21.34539039, 0.3865745235, 296.5492619, -20.47555341, -0.2704767394
